MFile 1 2 480
MTrk
0 TimeSig 4/4 24 8
9600 On ch=1 n=64 v=64
9827 On ch=1 n=64 v=0
9840 On ch=1 n=62 v=64
9953 On ch=1 n=62 v=0
9960 On ch=1 n=64 v=64
10301 On ch=1 n=64 v=0
10320 On ch=1 n=62 v=64
10433 On ch=1 n=62 v=0
10440 On ch=1 n=64 v=64
10781 On ch=1 n=64 v=0
10800 On ch=1 n=66 v=64
10913 On ch=1 n=66 v=0
10920 On ch=1 n=66 v=64
11375 On ch=1 n=66 v=0
11400 On ch=1 n=57 v=64
11513 On ch=1 n=57 v=0
11520 On ch=1 n=62 v=64
11747 On ch=1 n=62 v=0
11760 On ch=1 n=64 v=64
11987 On ch=1 n=64 v=0
12000 On ch=1 n=66 v=64
12227 On ch=1 n=66 v=0
12240 On ch=1 n=64 v=64
12695 On ch=1 n=64 v=0
12720 On ch=1 n=62 v=64
12833 On ch=1 n=62 v=0
12840 On ch=1 n=62 v=64
13295 On ch=1 n=62 v=0
13320 On ch=1 n=57 v=64
13433 On ch=1 n=57 v=0
13440 On ch=1 n=62 v=64
13781 On ch=1 n=62 v=0
13800 On ch=1 n=62 v=64
14027 On ch=1 n=62 v=0
14040 On ch=1 n=64 v=64
14153 On ch=1 n=64 v=0
14160 On ch=1 n=66 v=64
14387 On ch=1 n=66 v=0
14640 On ch=1 n=69 v=64
14640 On ch=1 n=78 v=64
14867 On ch=1 n=69 v=0
14867 On ch=1 n=78 v=0
14880 On ch=1 n=69 v=64
14880 On ch=1 n=79 v=64
15221 On ch=1 n=69 v=0
15221 On ch=1 n=79 v=0
15240 On ch=1 n=81 v=64
15353 On ch=1 n=81 v=0
15360 On ch=1 n=67 v=64
15360 On ch=1 n=71 v=64
15360 On ch=1 n=76 v=64
15587 On ch=1 n=67 v=0
15587 On ch=1 n=71 v=0
15587 On ch=1 n=76 v=0
15600 On ch=1 n=74 v=64
15713 On ch=1 n=74 v=0
15720 On ch=1 n=76 v=64
16061 On ch=1 n=76 v=0
16080 On ch=1 n=69 v=64
16080 On ch=1 n=78 v=64
16193 On ch=1 n=69 v=0
16193 On ch=1 n=78 v=0
16200 On ch=1 n=76 v=64
16541 On ch=1 n=76 v=0
16560 On ch=1 n=74 v=64
16673 On ch=1 n=74 v=0
16680 On ch=1 n=74 v=64
17021 On ch=1 n=74 v=0
17040 On ch=1 n=69 v=64
17153 On ch=1 n=69 v=0
17160 On ch=1 n=69 v=64
17273 On ch=1 n=69 v=0
17280 On ch=1 n=76 v=64
17507 On ch=1 n=76 v=0
17520 On ch=1 n=74 v=64
17633 On ch=1 n=74 v=0
17640 On ch=1 n=76 v=64
17981 On ch=1 n=76 v=0
18000 On ch=1 n=81 v=64
18113 On ch=1 n=81 v=0
18120 On ch=1 n=76 v=64
18461 On ch=1 n=76 v=0
18480 On ch=1 n=74 v=64
18593 On ch=1 n=74 v=0
18600 On ch=1 n=74 v=64
18941 On ch=1 n=74 v=0
19080 On ch=1 n=69 v=64
19193 On ch=1 n=69 v=0
19200 On ch=1 n=74 v=64
19427 On ch=1 n=74 v=0
19440 On ch=1 n=76 v=68
19553 On ch=1 n=76 v=0
19560 On ch=1 n=78 v=70
19901 On ch=1 n=78 v=0
19920 On ch=1 n=67 v=76
19920 On ch=1 n=79 v=76
20033 On ch=1 n=67 v=0
20033 On ch=1 n=79 v=0
20040 On ch=1 n=69 v=78
20040 On ch=1 n=81 v=78
20495 On ch=1 n=69 v=0
20495 On ch=1 n=81 v=0
20520 On ch=1 n=66 v=86
20520 On ch=1 n=78 v=86
20633 On ch=1 n=66 v=0
20633 On ch=1 n=78 v=0
20640 On ch=1 n=64 v=88
20640 On ch=1 n=76 v=88
20753 On ch=1 n=64 v=0
20753 On ch=1 n=76 v=0
20760 On ch=1 n=62 v=90
20760 On ch=1 n=74 v=90
21101 On ch=1 n=62 v=0
21101 On ch=1 n=74 v=0
21120 Tempo 800000
21120 On ch=1 n=74 v=115
21120 On ch=1 n=78 v=115
21120 On ch=1 n=81 v=115
21120 On ch=1 n=86 v=115
21359 On ch=1 n=74 v=0
21359 On ch=1 n=78 v=0
21359 On ch=1 n=81 v=0
21359 On ch=1 n=86 v=0
21360 On ch=1 n=74 v=96
21360 On ch=1 n=78 v=96
21360 On ch=1 n=81 v=96
21360 On ch=1 n=86 v=96
21473 On ch=1 n=74 v=0
21473 On ch=1 n=78 v=0
21473 On ch=1 n=81 v=0
21473 On ch=1 n=86 v=0
21480 On ch=1 n=73 v=96
21480 On ch=1 n=78 v=96
21480 On ch=1 n=81 v=96
21480 On ch=1 n=85 v=96
21821 On ch=1 n=73 v=0
21821 On ch=1 n=78 v=0
21821 On ch=1 n=81 v=0
21821 On ch=1 n=85 v=0
21840 On ch=1 n=71 v=96
21840 On ch=1 n=83 v=96
21953 On ch=1 n=71 v=0
21953 On ch=1 n=83 v=0
21960 On ch=1 n=69 v=96
21960 On ch=1 n=73 v=96
21960 On ch=1 n=81 v=96
22301 On ch=1 n=69 v=0
22301 On ch=1 n=73 v=0
22301 On ch=1 n=81 v=0
22320 On ch=1 n=62 v=96
22320 On ch=1 n=74 v=96
22433 On ch=1 n=62 v=0
22433 On ch=1 n=74 v=0
22440 On ch=1 n=62 v=96
22440 On ch=1 n=74 v=96
22667 On ch=1 n=62 v=0
22667 On ch=1 n=74 v=0
22680 On ch=1 n=64 v=96
22680 On ch=1 n=76 v=96
22793 On ch=1 n=64 v=0
22793 On ch=1 n=76 v=0
22800 On ch=1 n=66 v=96
22800 On ch=1 n=71 v=96
22800 On ch=1 n=74 v=96
22800 On ch=1 n=78 v=96
23027 On ch=1 n=66 v=0
23027 On ch=1 n=71 v=0
23027 On ch=1 n=74 v=0
23027 On ch=1 n=78 v=0
23280 On ch=1 n=86 v=96
23393 On ch=1 n=86 v=0
23400 On ch=1 n=88 v=96
23513 On ch=1 n=88 v=0
23520 On ch=1 n=81 v=96
23633 On ch=1 n=81 v=0
23640 On ch=1 n=74 v=96
23867 On ch=1 n=74 v=0
23880 On ch=1 n=62 v=96
23880 On ch=1 n=74 v=96
23993 On ch=1 n=62 v=0
23993 On ch=1 n=74 v=0
24000 On ch=1 n=66 v=96
24000 On ch=1 n=71 v=96
24000 On ch=1 n=74 v=96
24000 On ch=1 n=78 v=96
24227 On ch=1 n=66 v=0
24227 On ch=1 n=71 v=0
24227 On ch=1 n=74 v=0
24227 On ch=1 n=78 v=0
24240 On ch=1 n=67 v=96
24240 On ch=1 n=71 v=96
24240 On ch=1 n=79 v=96
24353 On ch=1 n=67 v=0
24353 On ch=1 n=71 v=0
24353 On ch=1 n=79 v=0
24360 On ch=1 n=66 v=96
24360 On ch=1 n=78 v=96
24701 On ch=1 n=66 v=0
24701 On ch=1 n=78 v=0
24720 On ch=1 n=64 v=96
24720 On ch=1 n=76 v=96
24833 On ch=1 n=64 v=0
24833 On ch=1 n=76 v=0
24840 On ch=1 n=62 v=96
24840 On ch=1 n=66 v=96
24840 On ch=1 n=74 v=96
24953 On ch=1 n=62 v=0
24953 On ch=1 n=66 v=0
24953 On ch=1 n=74 v=0
25200 On ch=1 n=86 v=96
25313 On ch=1 n=86 v=0
25320 On ch=1 n=88 v=96
25433 On ch=1 n=88 v=0
25440 On ch=1 n=62 v=96
25440 On ch=1 n=74 v=96
25553 On ch=1 n=62 v=0
25553 On ch=1 n=74 v=0
25560 On ch=1 n=64 v=96
25560 On ch=1 n=76 v=96
25673 On ch=1 n=64 v=0
25673 On ch=1 n=76 v=0
25680 On ch=1 n=66 v=96
25680 On ch=1 n=78 v=96
25793 On ch=1 n=66 v=0
25793 On ch=1 n=78 v=0
25800 On ch=1 n=69 v=96
25800 On ch=1 n=73 v=96
25800 On ch=1 n=81 v=96
26141 On ch=1 n=69 v=0
26141 On ch=1 n=73 v=0
26141 On ch=1 n=81 v=0
26160 On ch=1 n=66 v=96
26160 On ch=1 n=78 v=96
26273 On ch=1 n=66 v=0
26273 On ch=1 n=78 v=0
26280 On ch=1 n=64 v=96
26280 On ch=1 n=76 v=96
26507 On ch=1 n=64 v=0
26507 On ch=1 n=76 v=0
26520 On ch=1 n=62 v=96
26520 On ch=1 n=74 v=96
26633 On ch=1 n=62 v=0
26633 On ch=1 n=74 v=0
26640 On ch=1 n=62 v=96
26640 On ch=1 n=66 v=96
26640 On ch=1 n=74 v=96
26867 On ch=1 n=62 v=0
26867 On ch=1 n=66 v=0
26867 On ch=1 n=74 v=0
27120 On ch=1 n=61 v=80
27120 On ch=1 n=66 v=80
27120 On ch=1 n=69 v=80
27347 On ch=1 n=61 v=0
27347 On ch=1 n=66 v=0
27347 On ch=1 n=69 v=0
27360 On ch=1 n=62 v=80
27360 On ch=1 n=66 v=80
27360 On ch=1 n=69 v=80
27587 On ch=1 n=62 v=0
27587 On ch=1 n=66 v=0
27587 On ch=1 n=69 v=0
27600 On ch=1 n=62 v=80
27600 On ch=1 n=66 v=80
27827 On ch=1 n=62 v=0
27827 On ch=1 n=66 v=0
27840 On ch=1 n=62 v=80
27840 On ch=1 n=66 v=80
27840 On ch=1 n=69 v=80
28067 On ch=1 n=62 v=0
28067 On ch=1 n=66 v=0
28067 On ch=1 n=69 v=0
28080 On ch=1 n=73 v=84
28080 On ch=1 n=78 v=84
28307 On ch=1 n=73 v=0
28307 On ch=1 n=78 v=0
28320 On ch=1 n=74 v=88
28320 On ch=1 n=78 v=88
28320 On ch=1 n=81 v=88
28547 On ch=1 n=74 v=0
28547 On ch=1 n=78 v=0
28547 On ch=1 n=81 v=0
28560 On ch=1 n=74 v=92
28560 On ch=1 n=78 v=92
28560 On ch=1 n=81 v=92
28560 On ch=1 n=86 v=92
28787 On ch=1 n=74 v=0
28787 On ch=1 n=78 v=0
28787 On ch=1 n=81 v=0
28787 On ch=1 n=86 v=0
28800 On ch=1 n=74 v=96
28800 On ch=1 n=78 v=96
28800 On ch=1 n=81 v=96
28800 On ch=1 n=86 v=96
29027 On ch=1 n=74 v=0
29027 On ch=1 n=78 v=0
29027 On ch=1 n=81 v=0
29027 On ch=1 n=86 v=0
29040 On ch=1 n=74 v=96
29040 On ch=1 n=78 v=96
29040 On ch=1 n=81 v=96
29040 On ch=1 n=86 v=96
29153 On ch=1 n=74 v=0
29153 On ch=1 n=78 v=0
29153 On ch=1 n=81 v=0
29153 On ch=1 n=86 v=0
29160 On ch=1 n=73 v=96
29160 On ch=1 n=85 v=96
29501 On ch=1 n=73 v=0
29501 On ch=1 n=85 v=0
29520 On ch=1 n=71 v=96
29520 On ch=1 n=83 v=96
29633 On ch=1 n=71 v=0
29633 On ch=1 n=83 v=0
29640 On ch=1 n=69 v=96
29640 On ch=1 n=73 v=96
29640 On ch=1 n=81 v=96
29981 On ch=1 n=69 v=0
29981 On ch=1 n=73 v=0
29981 On ch=1 n=81 v=0
30000 On ch=1 n=64 v=96
30000 On ch=1 n=69 v=96
30000 On ch=1 n=76 v=96
30113 On ch=1 n=64 v=0
30113 On ch=1 n=69 v=0
30113 On ch=1 n=76 v=0
30120 On ch=1 n=64 v=96
30120 On ch=1 n=69 v=96
30120 On ch=1 n=76 v=96
30575 On ch=1 n=64 v=0
30575 On ch=1 n=69 v=0
30575 On ch=1 n=76 v=0
30600 On ch=1 n=76 v=96
30713 On ch=1 n=76 v=0
30720 On ch=1 n=73 v=96
30720 On ch=1 n=78 v=96
30720 On ch=1 n=82 v=96
30720 On ch=1 n=85 v=96
30947 On ch=1 n=73 v=0
30947 On ch=1 n=78 v=0
30947 On ch=1 n=82 v=0
30947 On ch=1 n=85 v=0
30960 On ch=1 n=71 v=96
30960 On ch=1 n=78 v=96
30960 On ch=1 n=83 v=96
31073 On ch=1 n=71 v=0
31073 On ch=1 n=78 v=0
31073 On ch=1 n=83 v=0
31080 On ch=1 n=73 v=96
31080 On ch=1 n=85 v=96
31421 On ch=1 n=73 v=0
31421 On ch=1 n=85 v=0
31440 On ch=1 n=74 v=96
31440 On ch=1 n=86 v=96
31553 On ch=1 n=74 v=0
31553 On ch=1 n=86 v=0
31560 On ch=1 n=74 v=96
31560 On ch=1 n=78 v=96
31560 On ch=1 n=86 v=96
32357 On ch=1 n=74 v=0
32357 On ch=1 n=78 v=0
32357 On ch=1 n=86 v=0
32400 On ch=1 n=62 v=96
32513 On ch=1 n=62 v=0
32520 On ch=1 n=64 v=96
32633 On ch=1 n=64 v=0
32640 On ch=1 n=66 v=64
32867 On ch=1 n=66 v=0
32880 On ch=1 n=67 v=64
32993 On ch=1 n=67 v=0
33000 On ch=1 n=66 v=64
33341 On ch=1 n=66 v=0
33360 On ch=1 n=64 v=64
33473 On ch=1 n=64 v=0
33480 On ch=1 n=62 v=64
33935 On ch=1 n=62 v=0
33960 On ch=1 n=62 v=64
33960 On ch=1 n=74 v=64
34073 On ch=1 n=62 v=0
34073 On ch=1 n=74 v=0
34080 On ch=1 n=62 v=64
34080 On ch=1 n=74 v=64
34193 On ch=1 n=62 v=0
34193 On ch=1 n=74 v=0
34200 On ch=1 n=69 v=64
34200 On ch=1 n=81 v=64
34427 On ch=1 n=69 v=0
34427 On ch=1 n=81 v=0
34440 On ch=1 n=69 v=64
34440 On ch=1 n=81 v=64
34553 On ch=1 n=69 v=0
34553 On ch=1 n=81 v=0
34560 On ch=1 n=69 v=80
34560 On ch=1 n=74 v=80
34560 On ch=1 n=81 v=80
34787 On ch=1 n=69 v=0
34787 On ch=1 n=74 v=0
34787 On ch=1 n=81 v=0
34800 On ch=1 n=67 v=80
34800 On ch=1 n=79 v=80
34913 On ch=1 n=67 v=0
34913 On ch=1 n=79 v=0
34920 On ch=1 n=67 v=80
34920 On ch=1 n=79 v=80
35147 On ch=1 n=67 v=0
35147 On ch=1 n=79 v=0
35160 On ch=1 n=65 v=80
35160 On ch=1 n=77 v=80
35387 On ch=1 n=65 v=0
35387 On ch=1 n=77 v=0
35400 On ch=1 n=65 v=80
35400 On ch=1 n=77 v=80
35513 On ch=1 n=65 v=0
35513 On ch=1 n=77 v=0
35520 On ch=1 n=65 v=80
35520 On ch=1 n=77 v=80
35861 On ch=1 n=65 v=0
35861 On ch=1 n=77 v=0
35880 On ch=1 n=67 v=80
35880 On ch=1 n=72 v=80
35880 On ch=1 n=79 v=80
35993 On ch=1 n=67 v=0
35993 On ch=1 n=72 v=0
35993 On ch=1 n=79 v=0
36000 On ch=1 n=67 v=80
36000 On ch=1 n=72 v=80
36000 On ch=1 n=79 v=80
36455 On ch=1 n=67 v=0
36455 On ch=1 n=72 v=0
36455 On ch=1 n=79 v=0
36480 KeySig 255 major
36480 On ch=1 n=65 v=96
36480 On ch=1 n=69 v=96
36480 On ch=1 n=72 v=96
36480 On ch=1 n=77 v=96
36707 On ch=1 n=65 v=0
36707 On ch=1 n=69 v=0
36707 On ch=1 n=72 v=0
36707 On ch=1 n=77 v=0
36720 On ch=1 n=67 v=96
36720 On ch=1 n=79 v=96
36947 On ch=1 n=67 v=0
36947 On ch=1 n=79 v=0
36960 On ch=1 n=69 v=96
36960 On ch=1 n=81 v=96
37187 On ch=1 n=69 v=0
37187 On ch=1 n=81 v=0
37200 On ch=1 n=72 v=96
37200 On ch=1 n=77 v=96
37200 On ch=1 n=81 v=96
37200 On ch=1 n=84 v=96
37769 On ch=1 n=72 v=0
37769 On ch=1 n=77 v=0
37769 On ch=1 n=81 v=0
37769 On ch=1 n=84 v=0
37800 On ch=1 n=67 v=96
37800 On ch=1 n=69 v=96
37800 On ch=1 n=72 v=96
37800 On ch=1 n=79 v=96
37913 On ch=1 n=67 v=0
37913 On ch=1 n=69 v=0
37913 On ch=1 n=72 v=0
37913 On ch=1 n=79 v=0
37920 On ch=1 n=65 v=96
37920 On ch=1 n=69 v=96
37920 On ch=1 n=72 v=96
37920 On ch=1 n=77 v=96
38261 On ch=1 n=65 v=0
38261 On ch=1 n=69 v=0
38261 On ch=1 n=72 v=0
38261 On ch=1 n=77 v=0
38280 On ch=1 n=62 v=96
38280 On ch=1 n=74 v=96
38393 On ch=1 n=62 v=0
38393 On ch=1 n=74 v=0
38400 On ch=1 n=65 v=96
38400 On ch=1 n=70 v=96
38400 On ch=1 n=77 v=96
38627 On ch=1 n=65 v=0
38627 On ch=1 n=70 v=0
38627 On ch=1 n=77 v=0
38640 On ch=1 n=62 v=96
38640 On ch=1 n=74 v=96
38753 On ch=1 n=62 v=0
38753 On ch=1 n=74 v=0
38760 On ch=1 n=65 v=96
38760 On ch=1 n=77 v=96
38987 On ch=1 n=65 v=0
38987 On ch=1 n=77 v=0
39000 On ch=1 n=67 v=96
39000 On ch=1 n=79 v=96
39113 On ch=1 n=67 v=0
39113 On ch=1 n=79 v=0
39120 On ch=1 n=69 v=96
39120 On ch=1 n=72 v=96
39120 On ch=1 n=81 v=96
39347 On ch=1 n=69 v=0
39347 On ch=1 n=72 v=0
39347 On ch=1 n=81 v=0
39480 On ch=1 n=57 v=96
39593 On ch=1 n=57 v=0
39600 On ch=1 n=60 v=96
39713 On ch=1 n=60 v=0
39720 On ch=1 n=65 v=96
39833 On ch=1 n=65 v=0
39840 On ch=1 n=79 v=96
39953 On ch=1 n=79 v=0
39960 On ch=1 n=67 v=96
40073 On ch=1 n=67 v=0
40080 On ch=1 n=72 v=96
40193 On ch=1 n=72 v=0
40200 On ch=1 n=76 v=96
40313 On ch=1 n=76 v=0
40320 On ch=1 n=65 v=96
40320 On ch=1 n=69 v=96
40320 On ch=1 n=72 v=96
40320 On ch=1 n=77 v=96
40547 On ch=1 n=65 v=0
40547 On ch=1 n=69 v=0
40547 On ch=1 n=72 v=0
40547 On ch=1 n=77 v=0
40560 On ch=1 n=67 v=96
40560 On ch=1 n=79 v=96
40787 On ch=1 n=67 v=0
40787 On ch=1 n=79 v=0
40800 On ch=1 n=69 v=96
40800 On ch=1 n=81 v=96
41027 On ch=1 n=69 v=0
41027 On ch=1 n=81 v=0
41040 On ch=1 n=72 v=96
41040 On ch=1 n=77 v=96
41040 On ch=1 n=81 v=96
41040 On ch=1 n=84 v=96
41609 On ch=1 n=72 v=0
41609 On ch=1 n=77 v=0
41609 On ch=1 n=81 v=0
41609 On ch=1 n=84 v=0
41640 On ch=1 n=67 v=96
41640 On ch=1 n=69 v=96
41640 On ch=1 n=72 v=96
41640 On ch=1 n=79 v=96
41753 On ch=1 n=67 v=0
41753 On ch=1 n=69 v=0
41753 On ch=1 n=72 v=0
41753 On ch=1 n=79 v=0
41760 On ch=1 n=65 v=96
41760 On ch=1 n=69 v=96
41760 On ch=1 n=72 v=96
41760 On ch=1 n=77 v=96
42101 On ch=1 n=65 v=0
42101 On ch=1 n=69 v=0
42101 On ch=1 n=72 v=0
42101 On ch=1 n=77 v=0
42120 On ch=1 n=62 v=96
42120 On ch=1 n=74 v=96
42233 On ch=1 n=62 v=0
42233 On ch=1 n=74 v=0
42240 On ch=1 n=65 v=96
42240 On ch=1 n=72 v=96
42240 On ch=1 n=77 v=96
42467 On ch=1 n=65 v=0
42467 On ch=1 n=72 v=0
42467 On ch=1 n=77 v=0
42480 On ch=1 n=69 v=96
42480 On ch=1 n=81 v=96
42593 On ch=1 n=69 v=0
42593 On ch=1 n=81 v=0
42600 On ch=1 n=67 v=96
42600 On ch=1 n=79 v=96
42941 On ch=1 n=67 v=0
42941 On ch=1 n=79 v=0
42960 On ch=1 n=65 v=96
42960 On ch=1 n=77 v=96
43073 On ch=1 n=65 v=0
43073 On ch=1 n=77 v=0
43080 On ch=1 n=65 v=96
43080 On ch=1 n=77 v=96
43193 On ch=1 n=65 v=0
43193 On ch=1 n=77 v=0
43200 On ch=1 n=65 v=96
43200 On ch=1 n=69 v=96
43427 On ch=1 n=65 v=0
43427 On ch=1 n=69 v=0
43440 On ch=1 n=67 v=96
43440 On ch=1 n=70 v=96
43553 On ch=1 n=67 v=0
43553 On ch=1 n=70 v=0
43560 On ch=1 n=65 v=96
43560 On ch=1 n=72 v=96
43787 On ch=1 n=65 v=0
43787 On ch=1 n=72 v=0
43800 On ch=1 n=67 v=96
44027 On ch=1 n=67 v=0
44040 On ch=1 n=64 v=96
44153 On ch=1 n=64 v=0
44160 On ch=1 n=65 v=96
44160 On ch=1 n=69 v=96
44160 On ch=1 n=72 v=96
44160 On ch=1 n=77 v=96
44387 On ch=1 n=65 v=0
44387 On ch=1 n=69 v=0
44387 On ch=1 n=72 v=0
44387 On ch=1 n=77 v=0
44400 On ch=1 n=67 v=96
44400 On ch=1 n=79 v=96
44627 On ch=1 n=67 v=0
44627 On ch=1 n=79 v=0
44640 On ch=1 n=69 v=96
44640 On ch=1 n=81 v=96
44867 On ch=1 n=69 v=0
44867 On ch=1 n=81 v=0
44880 On ch=1 n=72 v=96
44880 On ch=1 n=77 v=96
44880 On ch=1 n=84 v=96
45335 On ch=1 n=72 v=0
45335 On ch=1 n=77 v=0
45335 On ch=1 n=84 v=0
45360 On ch=1 n=67 v=96
45360 On ch=1 n=79 v=96
45473 On ch=1 n=67 v=0
45473 On ch=1 n=79 v=0
45480 On ch=1 n=65 v=96
45480 On ch=1 n=77 v=96
45935 On ch=1 n=65 v=0
45935 On ch=1 n=77 v=0
45960 On ch=1 n=65 v=96
45960 On ch=1 n=77 v=96
46073 On ch=1 n=65 v=0
46073 On ch=1 n=77 v=0
46080 On ch=1 n=67 v=96
46080 On ch=1 n=72 v=96
46080 On ch=1 n=79 v=96
46307 On ch=1 n=67 v=0
46307 On ch=1 n=72 v=0
46307 On ch=1 n=79 v=0
46320 On ch=1 n=65 v=96
46320 On ch=1 n=72 v=96
46320 On ch=1 n=77 v=96
46433 On ch=1 n=65 v=0
46433 On ch=1 n=72 v=0
46433 On ch=1 n=77 v=0
46440 On ch=1 n=67 v=96
46440 On ch=1 n=72 v=96
46440 On ch=1 n=79 v=96
46781 On ch=1 n=67 v=0
46781 On ch=1 n=72 v=0
46781 On ch=1 n=79 v=0
46800 On ch=1 n=70 v=96
46800 On ch=1 n=82 v=96
46913 On ch=1 n=70 v=0
46913 On ch=1 n=82 v=0
46920 On ch=1 n=69 v=96
46920 On ch=1 n=73 v=96
46920 On ch=1 n=81 v=96
47375 On ch=1 n=69 v=0
47375 On ch=1 n=73 v=0
47375 On ch=1 n=81 v=0
47400 On ch=1 n=67 v=96
47400 On ch=1 n=73 v=96
47400 On ch=1 n=79 v=96
47513 On ch=1 n=67 v=0
47513 On ch=1 n=73 v=0
47513 On ch=1 n=79 v=0
47520 On ch=1 n=67 v=96
47520 On ch=1 n=73 v=96
47520 On ch=1 n=79 v=96
47975 On ch=1 n=67 v=0
47975 On ch=1 n=73 v=0
47975 On ch=1 n=79 v=0
47976 On ch=1 n=65 v=96
47988 On ch=1 n=69 v=96
47994 On ch=1 n=72 v=96
48000 On ch=1 n=77 v=96
48113 On ch=1 n=77 v=0
48149 On ch=1 n=72 v=0
48185 On ch=1 n=69 v=0
48215 On ch=1 n=65 v=0
48240 On ch=1 n=64 v=96
48240 On ch=1 n=69 v=96
48240 On ch=1 n=72 v=96
48240 On ch=1 n=76 v=96
48353 On ch=1 n=64 v=0
48353 On ch=1 n=69 v=0
48353 On ch=1 n=72 v=0
48353 On ch=1 n=76 v=0
48360 On ch=1 n=65 v=96
48360 On ch=1 n=69 v=96
48360 On ch=1 n=72 v=96
48360 On ch=1 n=77 v=96
48701 On ch=1 n=65 v=0
48701 On ch=1 n=69 v=0
48701 On ch=1 n=72 v=0
48701 On ch=1 n=77 v=0
48720 On ch=1 n=74 v=96
48720 On ch=1 n=86 v=96
48833 On ch=1 n=74 v=0
48833 On ch=1 n=86 v=0
48840 On ch=1 n=72 v=96
48840 On ch=1 n=77 v=96
48840 On ch=1 n=84 v=96
49181 On ch=1 n=72 v=0
49181 On ch=1 n=77 v=0
49181 On ch=1 n=84 v=0
49200 On ch=1 n=65 v=96
49200 On ch=1 n=77 v=96
49313 On ch=1 n=65 v=0
49313 On ch=1 n=77 v=0
49320 On ch=1 n=65 v=96
49320 On ch=1 n=70 v=96
49320 On ch=1 n=77 v=96
49775 On ch=1 n=65 v=0
49775 On ch=1 n=70 v=0
49775 On ch=1 n=77 v=0
49800 On ch=1 n=60 v=96
49800 On ch=1 n=72 v=96
49913 On ch=1 n=60 v=0
49913 On ch=1 n=72 v=0
49920 On ch=1 n=67 v=96
49920 On ch=1 n=72 v=96
49920 On ch=1 n=79 v=96
50147 On ch=1 n=67 v=0
50147 On ch=1 n=72 v=0
50147 On ch=1 n=79 v=0
50160 On ch=1 n=69 v=96
50160 On ch=1 n=72 v=96
50160 On ch=1 n=81 v=96
50273 On ch=1 n=69 v=0
50273 On ch=1 n=72 v=0
50273 On ch=1 n=81 v=0
50280 On ch=1 n=67 v=96
50280 On ch=1 n=72 v=96
50280 On ch=1 n=79 v=96
50621 On ch=1 n=67 v=0
50621 On ch=1 n=72 v=0
50621 On ch=1 n=79 v=0
50640 On ch=1 n=65 v=96
50640 On ch=1 n=77 v=96
50753 On ch=1 n=65 v=0
50753 On ch=1 n=77 v=0
50760 On ch=1 n=65 v=96
50760 On ch=1 n=69 v=96
50760 On ch=1 n=72 v=96
50760 On ch=1 n=77 v=96
51557 On ch=1 n=65 v=0
51557 On ch=1 n=69 v=0
51557 On ch=1 n=72 v=0
51557 On ch=1 n=77 v=0
51600 On ch=1 n=77 v=96
51713 On ch=1 n=77 v=0
